Indicator,Year,STATE,AGE,STD
Primary and Secondary Syphilis,2003,Alabama,0-14,0
Primary and Secondary Syphilis,2003,Alabama,15-19,4
Primary and Secondary Syphilis,2004,Alabama,0-14,0
Primary and Secondary Syphilis,2004,Alabama,15-19,11
Primary and Secondary Syphilis,2005,Alabama,0-14,0
Primary and Secondary Syphilis,2005,Alabama,15-19,13
Primary and Secondary Syphilis,2006,Alabama,0-14,2
Primary and Secondary Syphilis,2006,Alabama,15-19,24
Primary and Secondary Syphilis,2007,Alabama,0-14,1
Primary and Secondary Syphilis,2007,Alabama,15-19,20
Primary and Secondary Syphilis,2008,Alabama,0-14,2
Primary and Secondary Syphilis,2008,Alabama,15-19,26
Primary and Secondary Syphilis,2009,Alabama,0-14,0
Primary and Secondary Syphilis,2009,Alabama,15-19,33
Primary and Secondary Syphilis,2010,Alabama,0-14,0
Primary and Secondary Syphilis,2010,Alabama,15-19,18
Primary and Secondary Syphilis,2011,Alabama,0-14,0
Primary and Secondary Syphilis,2011,Alabama,15-19,13
Primary and Secondary Syphilis,2012,Alabama,0-14,0
Primary and Secondary Syphilis,2012,Alabama,15-19,17
Primary and Secondary Syphilis,2013,Alabama,0-14,0
Primary and Secondary Syphilis,2013,Alabama,15-19,15
Primary and Secondary Syphilis,2014,Alabama,0-14,1
Primary and Secondary Syphilis,2014,Alabama,15-19,16
Primary and Secondary Syphilis,2015,Alabama,0-14,0
Primary and Secondary Syphilis,2015,Alabama,15-19,17
Primary and Secondary Syphilis,2016,Alabama,0-14,1
Primary and Secondary Syphilis,2016,Alabama,15-19,38
Primary and Secondary Syphilis,2017,Alabama,0-14,1
Primary and Secondary Syphilis,2017,Alabama,15-19,31
Primary and Secondary Syphilis,2018,Alabama,0-14,1
Primary and Secondary Syphilis,2018,Alabama,15-19,39
Primary and Secondary Syphilis,2019,Alabama,0-14,0
Primary and Secondary Syphilis,2019,Alabama,15-19,33
Primary and Secondary Syphilis,2020,Alabama,0-14,0
Primary and Secondary Syphilis,2020,Alabama,15-19,29
Primary and Secondary Syphilis,2021,Alabama,0-14,0
Primary and Secondary Syphilis,2021,Alabama,15-19,43
Chlamydia,2000,Alaska,0-14,27
Chlamydia,2000,Alaska,15-19,958
Chlamydia,2001,Alaska,0-14,44
Chlamydia,2001,Alaska,15-19,"1,014"
Chlamydia,2002,Alaska,0-14,60
Chlamydia,2002,Alaska,15-19,"1,292"
Chlamydia,2003,Alaska,0-14,53
Chlamydia,2003,Alaska,15-19,"1,338"
Chlamydia,2004,Alaska,0-14,44
Chlamydia,2004,Alaska,15-19,"1,270"
Chlamydia,2005,Alaska,0-14,46
Chlamydia,2005,Alaska,15-19,"1,354"
Chlamydia,2006,Alaska,0-14,40
Chlamydia,2006,Alaska,15-19,"1,378"
Chlamydia,2007,Alaska,0-14,37
Chlamydia,2007,Alaska,15-19,"1,419"
Chlamydia,2008,Alaska,0-14,32
Chlamydia,2008,Alaska,15-19,"1,368"
Chlamydia,2009,Alaska,0-14,36
Chlamydia,2009,Alaska,15-19,"1,486"
Chlamydia,2010,Alaska,0-14,37
Chlamydia,2010,Alaska,15-19,"1,639"
Chlamydia,2011,Alaska,0-14,43
Chlamydia,2011,Alaska,15-19,"1,633"
Chlamydia,2012,Alaska,0-14,36
Chlamydia,2012,Alaska,15-19,"1,329"
Chlamydia,2013,Alaska,0-14,44
Chlamydia,2013,Alaska,15-19,"1,336"
Chlamydia,2014,Alaska,0-14,47
Chlamydia,2014,Alaska,15-19,"1,319"
Chlamydia,2015,Alaska,0-14,42
Chlamydia,2015,Alaska,15-19,"1,249"
Chlamydia,2016,Alaska,0-14,54
Chlamydia,2016,Alaska,15-19,"1,313"
Chlamydia,2017,Alaska,0-14,46
Chlamydia,2017,Alaska,15-19,"1,249"
Chlamydia,2018,Alaska,0-14,54
Chlamydia,2018,Alaska,15-19,"1,246"
Chlamydia,2019,Alaska,0-14,46
Chlamydia,2019,Alaska,15-19,"1,269"
Chlamydia,2020,Alaska,0-14,26
Chlamydia,2020,Alaska,15-19,"1,039"
Chlamydia,2021,Alaska,0-14,41
Chlamydia,2021,Alaska,15-19,"1,068"
"Early Non-Primary, Non-Secondary Syphilis",2000,Alaska,0-14,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2000,Alaska,15-19,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2001,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Alaska,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Alaska,0-14,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2002,Alaska,15-19,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2003,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Alaska,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Alaska,0-14,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2004,Alaska,15-19,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2005,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2005,Alaska,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2006,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2006,Alaska,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2007,Alaska,0-14,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2007,Alaska,15-19,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2008,Alaska,0-14,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2008,Alaska,15-19,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2009,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2009,Alaska,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Alaska,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2011,Alaska,0-14,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2011,Alaska,15-19,Data suppressed
"Early Non-Primary, Non-Secondary Syphilis",2012,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2012,Alaska,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2013,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2013,Alaska,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2014,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2014,Alaska,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2015,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Alaska,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2016,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Alaska,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2017,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Alaska,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2018,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Alaska,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2019,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Alaska,15-19,5
"Early Non-Primary, Non-Secondary Syphilis",2020,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2020,Alaska,15-19,6
"Early Non-Primary, Non-Secondary Syphilis",2021,Alaska,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2021,Alaska,15-19,2
Gonorrhea,2000,Alaska,0-14,8
Gonorrhea,2000,Alaska,15-19,67
Gonorrhea,2001,Alaska,0-14,4
Gonorrhea,2001,Alaska,15-19,91
Gonorrhea,2002,Alaska,0-14,5
Gonorrhea,2002,Alaska,15-19,147
Gonorrhea,2003,Alaska,0-14,3
Gonorrhea,2003,Alaska,15-19,122
Gonorrhea,2004,Alaska,0-14,5
Gonorrhea,2004,Alaska,15-19,139
Gonorrhea,2005,Alaska,0-14,4
Gonorrhea,2005,Alaska,15-19,110
Gonorrhea,2006,Alaska,0-14,3
Gonorrhea,2006,Alaska,15-19,114
Gonorrhea,2007,Alaska,0-14,1
Gonorrhea,2007,Alaska,15-19,99
Gonorrhea,2008,Alaska,0-14,3
Gonorrhea,2008,Alaska,15-19,110
Gonorrhea,2009,Alaska,0-14,6
Gonorrhea,2009,Alaska,15-19,174
Gonorrhea,2010,Alaska,0-14,9
Gonorrhea,2010,Alaska,15-19,221
Gonorrhea,2011,Alaska,0-14,10
Gonorrhea,2011,Alaska,15-19,151
Gonorrhea,2012,Alaska,0-14,3
Gonorrhea,2012,Alaska,15-19,86
Gonorrhea,2013,Alaska,0-14,5
Gonorrhea,2013,Alaska,15-19,91
Gonorrhea,2014,Alaska,0-14,3
Gonorrhea,2014,Alaska,15-19,128
Gonorrhea,2015,Alaska,0-14,8
Gonorrhea,2015,Alaska,15-19,125
Gonorrhea,2016,Alaska,0-14,4
Gonorrhea,2016,Alaska,15-19,140
Gonorrhea,2017,Alaska,0-14,16
Gonorrhea,2017,Alaska,15-19,214
Gonorrhea,2018,Alaska,0-14,12
Gonorrhea,2018,Alaska,15-19,227
Gonorrhea,2019,Alaska,0-14,2
Gonorrhea,2019,Alaska,15-19,206
Gonorrhea,2020,Alaska,0-14,2
Gonorrhea,2020,Alaska,15-19,227
Gonorrhea,2021,Alaska,0-14,3
Gonorrhea,2021,Alaska,15-19,181
Primary and Secondary Syphilis,2000,Alaska,0-14,0
Primary and Secondary Syphilis,2000,Alaska,15-19,0
Primary and Secondary Syphilis,2001,Alaska,0-14,0
Primary and Secondary Syphilis,2001,Alaska,15-19,0
Primary and Secondary Syphilis,2002,Alaska,0-14,0
Primary and Secondary Syphilis,2002,Alaska,15-19,0
Primary and Secondary Syphilis,2003,Alaska,0-14,Data suppressed
Primary and Secondary Syphilis,2003,Alaska,15-19,Data suppressed
Primary and Secondary Syphilis,2004,Alaska,0-14,0
Primary and Secondary Syphilis,2004,Alaska,15-19,0
Primary and Secondary Syphilis,2005,Alaska,0-14,0
Primary and Secondary Syphilis,2005,Alaska,15-19,0
Primary and Secondary Syphilis,2006,Alaska,0-14,0
Primary and Secondary Syphilis,2006,Alaska,15-19,0
Primary and Secondary Syphilis,2007,Alaska,0-14,0
Primary and Secondary Syphilis,2007,Alaska,15-19,0
Primary and Secondary Syphilis,2008,Alaska,0-14,Data suppressed
Primary and Secondary Syphilis,2008,Alaska,15-19,Data suppressed
Primary and Secondary Syphilis,2009,Alaska,0-14,0
Primary and Secondary Syphilis,2009,Alaska,15-19,0
Primary and Secondary Syphilis,2010,Alaska,0-14,Data suppressed
Primary and Secondary Syphilis,2010,Alaska,15-19,Data suppressed
Primary and Secondary Syphilis,2011,Alaska,0-14,0
Primary and Secondary Syphilis,2011,Alaska,15-19,0
Primary and Secondary Syphilis,2012,Alaska,0-14,0
Primary and Secondary Syphilis,2012,Alaska,15-19,0
Primary and Secondary Syphilis,2013,Alaska,0-14,0
Primary and Secondary Syphilis,2013,Alaska,15-19,2
Primary and Secondary Syphilis,2014,Alaska,0-14,0
Primary and Secondary Syphilis,2014,Alaska,15-19,1
Primary and Secondary Syphilis,2015,Alaska,0-14,0
Primary and Secondary Syphilis,2015,Alaska,15-19,0
Primary and Secondary Syphilis,2016,Alaska,0-14,0
Primary and Secondary Syphilis,2016,Alaska,15-19,0
Primary and Secondary Syphilis,2017,Alaska,0-14,0
Primary and Secondary Syphilis,2017,Alaska,15-19,0
Primary and Secondary Syphilis,2018,Alaska,0-14,0
Primary and Secondary Syphilis,2018,Alaska,15-19,2
Primary and Secondary Syphilis,2019,Alaska,0-14,0
Primary and Secondary Syphilis,2019,Alaska,15-19,4
Primary and Secondary Syphilis,2020,Alaska,0-14,0
Primary and Secondary Syphilis,2020,Alaska,15-19,4
Primary and Secondary Syphilis,2021,Alaska,0-14,0
Primary and Secondary Syphilis,2021,Alaska,15-19,6
Chlamydia,2000,Arizona,0-14,253
Chlamydia,2000,Arizona,15-19,"4,343"
Chlamydia,2001,Arizona,0-14,307
Chlamydia,2001,Arizona,15-19,"4,786"
Chlamydia,2002,Arizona,0-14,253
Chlamydia,2002,Arizona,15-19,"4,814"
Chlamydia,2003,Arizona,0-14,211
Chlamydia,2003,Arizona,15-19,"4,191"
Chlamydia,2004,Arizona,0-14,232
Chlamydia,2004,Arizona,15-19,"5,339"
Chlamydia,2005,Arizona,0-14,298
Chlamydia,2005,Arizona,15-19,"6,595"
Chlamydia,2006,Arizona,0-14,288
Chlamydia,2006,Arizona,15-19,"7,465"
Chlamydia,2007,Arizona,0-14,349
Chlamydia,2007,Arizona,15-19,"8,080"
Chlamydia,2008,Arizona,0-14,346
Chlamydia,2008,Arizona,15-19,"8,176"
Chlamydia,2009,Arizona,0-14,279
Chlamydia,2009,Arizona,15-19,"8,385"
Chlamydia,2010,Arizona,0-14,296
Chlamydia,2010,Arizona,15-19,"8,245"
Chlamydia,2011,Arizona,0-14,247
Chlamydia,2011,Arizona,15-19,"8,799"
Chlamydia,2012,Arizona,0-14,238
Chlamydia,2012,Arizona,15-19,"8,591"
Chlamydia,2013,Arizona,0-14,204
Chlamydia,2013,Arizona,15-19,"8,033"
Chlamydia,2014,Arizona,0-14,190
Chlamydia,2014,Arizona,15-19,"7,726"
Chlamydia,2015,Arizona,0-14,159
Chlamydia,2015,Arizona,15-19,"7,680"
Chlamydia,2016,Arizona,0-14,209
Chlamydia,2016,Arizona,15-19,"8,421"
Chlamydia,2017,Arizona,0-14,218
Chlamydia,2017,Arizona,15-19,"9,386"
Chlamydia,2018,Arizona,0-14,222
Chlamydia,2018,Arizona,15-19,"9,390"
Chlamydia,2019,Arizona,0-14,192
Chlamydia,2019,Arizona,15-19,"9,606"
Chlamydia,2020,Arizona,0-14,197
Chlamydia,2020,Arizona,15-19,"8,218"
Chlamydia,2021,Arizona,0-14,154
Chlamydia,2021,Arizona,15-19,"8,503"
"Early Non-Primary, Non-Secondary Syphilis",2000,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,Arizona,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Arizona,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Arizona,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Arizona,15-19,17
"Early Non-Primary, Non-Secondary Syphilis",2004,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Arizona,15-19,14
"Early Non-Primary, Non-Secondary Syphilis",2005,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2005,Arizona,15-19,13
"Early Non-Primary, Non-Secondary Syphilis",2006,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2006,Arizona,15-19,16
"Early Non-Primary, Non-Secondary Syphilis",2007,Arizona,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2007,Arizona,15-19,26
"Early Non-Primary, Non-Secondary Syphilis",2008,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2008,Arizona,15-19,8
"Early Non-Primary, Non-Secondary Syphilis",2009,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2009,Arizona,15-19,12
"Early Non-Primary, Non-Secondary Syphilis",2010,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Arizona,15-19,13
"Early Non-Primary, Non-Secondary Syphilis",2011,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2011,Arizona,15-19,11
"Early Non-Primary, Non-Secondary Syphilis",2012,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2012,Arizona,15-19,8
"Early Non-Primary, Non-Secondary Syphilis",2013,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2013,Arizona,15-19,8
"Early Non-Primary, Non-Secondary Syphilis",2014,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2014,Arizona,15-19,17
"Early Non-Primary, Non-Secondary Syphilis",2015,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Arizona,15-19,19
"Early Non-Primary, Non-Secondary Syphilis",2016,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Arizona,15-19,22
"Early Non-Primary, Non-Secondary Syphilis",2017,Arizona,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2017,Arizona,15-19,42
"Early Non-Primary, Non-Secondary Syphilis",2018,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Arizona,15-19,33
"Early Non-Primary, Non-Secondary Syphilis",2019,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Arizona,15-19,45
"Early Non-Primary, Non-Secondary Syphilis",2020,Arizona,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2020,Arizona,15-19,29
"Early Non-Primary, Non-Secondary Syphilis",2021,Arizona,0-14,2
"Early Non-Primary, Non-Secondary Syphilis",2021,Arizona,15-19,53
Gonorrhea,2000,Arizona,0-14,53
Gonorrhea,2000,Arizona,15-19,952
Gonorrhea,2001,Arizona,0-14,44
Gonorrhea,2001,Arizona,15-19,852
Gonorrhea,2002,Arizona,0-14,42
Gonorrhea,2002,Arizona,15-19,735
Gonorrhea,2003,Arizona,0-14,44
Gonorrhea,2003,Arizona,15-19,776
Gonorrhea,2004,Arizona,0-14,56
Gonorrhea,2004,Arizona,15-19,907
Gonorrhea,2005,Arizona,0-14,64
Gonorrhea,2005,Arizona,15-19,"1,082"
Gonorrhea,2006,Arizona,0-14,58
Gonorrhea,2006,Arizona,15-19,"1,280"
Gonorrhea,2007,Arizona,0-14,63
Gonorrhea,2007,Arizona,15-19,"1,147"
Gonorrhea,2008,Arizona,0-14,33
Gonorrhea,2008,Arizona,15-19,756
Gonorrhea,2009,Arizona,0-14,33
Gonorrhea,2009,Arizona,15-19,730
Gonorrhea,2010,Arizona,0-14,29
Gonorrhea,2010,Arizona,15-19,777
Gonorrhea,2011,Arizona,0-14,34
Gonorrhea,2011,Arizona,15-19,"1,073"
Gonorrhea,2012,Arizona,0-14,30
Gonorrhea,2012,Arizona,15-19,"1,266"
Gonorrhea,2013,Arizona,0-14,39
Gonorrhea,2013,Arizona,15-19,"1,151"
Gonorrhea,2014,Arizona,0-14,27
Gonorrhea,2014,Arizona,15-19,"1,215"
Gonorrhea,2015,Arizona,0-14,37
Gonorrhea,2015,Arizona,15-19,"1,266"
Gonorrhea,2016,Arizona,0-14,54
Gonorrhea,2016,Arizona,15-19,"1,531"
Gonorrhea,2017,Arizona,0-14,65
Gonorrhea,2017,Arizona,15-19,"1,866"
Gonorrhea,2018,Arizona,0-14,44
Gonorrhea,2018,Arizona,15-19,"1,667"
Gonorrhea,2019,Arizona,0-14,50
Gonorrhea,2019,Arizona,15-19,"1,810"
Gonorrhea,2020,Arizona,0-14,67
Gonorrhea,2020,Arizona,15-19,"2,112"
Gonorrhea,2021,Arizona,0-14,58
Gonorrhea,2021,Arizona,15-19,"2,209"
Primary and Secondary Syphilis,2000,Arizona,0-14,0
Primary and Secondary Syphilis,2000,Arizona,15-19,11
Primary and Secondary Syphilis,2001,Arizona,0-14,0
Primary and Secondary Syphilis,2001,Arizona,15-19,10
Primary and Secondary Syphilis,2002,Arizona,0-14,0
Primary and Secondary Syphilis,2002,Arizona,15-19,15
Primary and Secondary Syphilis,2003,Arizona,0-14,0
Primary and Secondary Syphilis,2003,Arizona,15-19,17
Primary and Secondary Syphilis,2004,Arizona,0-14,0
Primary and Secondary Syphilis,2004,Arizona,15-19,10
Primary and Secondary Syphilis,2005,Arizona,0-14,0
Primary and Secondary Syphilis,2005,Arizona,15-19,7
Primary and Secondary Syphilis,2006,Arizona,0-14,1
Primary and Secondary Syphilis,2006,Arizona,15-19,11
Primary and Secondary Syphilis,2007,Arizona,0-14,0
