"State, Year",abortion_rate,birth_rate,pregnancy_rate,"HIV Rate per 100,000","STD Rate per 100,000 People"
"New Hampshire, 2019",,,,0.5,201.3882362
"New Hampshire, 2020",,,,2.9,154.4914318
"New Hampshire, 2021",,,,0.5,150.8693345
"New Hampshire, 2022",,,,,
"New Hampshire, 2023",,,,,
"New Jersey, 2018",,,,14.1,282.6973025
"New Jersey, 2019",,,,14,366.4483078
"New Jersey, 2020",,,,10,300.6482247
"New Jersey, 2021",,,,12.9,275.5021773
"New Jersey, 2022",,,,,
"New Jersey, 2023",,,,,
"New Mexico, 2018",,,,6.8,517.0531845
"New Mexico, 2019",,,,8.9,529.2851956
"New Mexico, 2020",,,,7.3,439.7974656
"New Mexico, 2021",,,,9.1,403.7723098
"New Mexico, 2022",,,,,
"New Mexico, 2023",,,,,
"New York, 2018",,,,14.9,480.8928978
"New York, 2019",,,,15.3,499.7547362
"New York, 2020",,,,11.8,415.4672358
"New York, 2021",,,,14.1,371.9472678
"New York, 2022",,,,,
"New York, 2023",,,,,
"North Carolina, 2018",,,,18.5,611.0154794
"North Carolina, 2019",,,,22.7,638.7892474
"North Carolina, 2020",,,,16.8,585.5311977
"North Carolina, 2021",,,,20.9,549.6356288
"North Carolina, 2022",,,,,
"North Carolina, 2023",,,,,
"North Dakota, 2018",,,,3.1,356.1978945
"North Dakota, 2019",,,,3.9,369.4445994
"North Dakota, 2020",,,,3.7,348.3825929
"North Dakota, 2021",,,,5.2,352.5684369
"North Dakota, 2022",,,,,
"North Dakota, 2023",,,,,
"Ohio, 2018",,,,12.5,552.7934846
"Ohio, 2019",,,,12.6,559.0858016
"Ohio, 2020",,,,11.2,524.0174672
"Ohio, 2021",,,,11.5,481.4760464
"Ohio, 2022",,,,,
"Ohio, 2023",,,,,
"Oklahoma, 2018",,,,9.2,507.7139245
"Oklahoma, 2019",,,,12.8,539.3010718
"Oklahoma, 2020",,,,11.9,491.385999
"Oklahoma, 2021",,,,12.9,450.1849575
"Oklahoma, 2022",,,,,
"Oklahoma, 2023",,,,,
"Oregon, 2018",,,,5.6,364.7251572
"Oregon, 2019",,,,3.4,338.8639464
"Oregon, 2020",,,,4.9,287.3170442
"Oregon, 2021",,,,4.2,258.3156696
"Oregon, 2022",,,,,
"Oregon, 2023",,,,,
"Pennsylvania, 2018",,,,11.8,431.8310409
"Pennsylvania, 2019",,,,11.4,457.2036186
"Pennsylvania, 2020",,,,8.2,404.96241
"Pennsylvania, 2021",,,,9.4,400.0132247
"Pennsylvania, 2022",,,,,
"Pennsylvania, 2023",,,,,
"Rhode Island, 2018",,,,8.7,438.8207749
"Rhode Island, 2019",,,,8.8,429.0007822
"Rhode Island, 2020",,,,6.3,362.1442929
"Rhode Island, 2021",,,,9.2,351.1351629
"Rhode Island, 2022",,,,,
"Rhode Island, 2023",,,,,
"South Carolina, 2018",,,,20.6,726.5476635
"South Carolina, 2019",,,,24.7,744.2338901
"South Carolina, 2020",,,,19,698.5475456
"South Carolina, 2021",,,,20.6,694.5117343
"South Carolina, 2022",,,,,
"South Carolina, 2023",,,,,
"South Dakota, 2018",,,,2.1,389.339265
"South Dakota, 2019",,,,3.5,413.1021195
"South Dakota, 2020",,,,4.2,391.303502
"South Dakota, 2021",,,,2.7,465.0188349
"South Dakota, 2022",,,,,
"South Dakota, 2023",,,,,
"Tennessee, 2018",,,,16.3,553.6621386
"Tennessee, 2019",,,,15.9,595.9209231
"Tennessee, 2020",,,,15.1,555.8716855
"Tennessee, 2021",,,,20,524.6447539
"Tennessee, 2022",,,,,
"Tennessee, 2023",,,,,
"Texas, 2018",,,,20.7,416.6281573
"Texas, 2019",,,,21.1,359.6224943
"Texas, 2020",,,,16.8,381.1172412
"Texas, 2021",,,,18.6,389.6674653
"Texas, 2022",,,,,
"Texas, 2023",,,,,
"Utah, 2018",,,,4.4,200.3341325
"Utah, 2019",,,,6.2,193.5612515
"Utah, 2020",,,,3.7,185.2748238
"Utah, 2021",,,,3.9,179.8221433
"Utah, 2022",,,,,
"Utah, 2023",,,,,
"Vermont, 2018",,,,3,183.6810837
"Vermont, 2019",,,,2,212.0967801
"Vermont, 2020",,,,0,146.9450323
"Vermont, 2021",,,,1.9,104.4069212
"Vermont, 2022",,,,,
"Vermont, 2023",,,,,
"Virginia, 2018",,,,14.7,291.2173045
"Virginia, 2019",,,,12.5,325.0763434
"Virginia, 2020",,,,10.7,223.4085389
"Virginia, 2021",,,,12.7,185.2584147
"Virginia, 2022",,,,,
"Virginia, 2023",,,,,
"Washington, 2018",,,,5.6,330.0810318
"Washington, 2019",,,,5.6,352.0788094
"Washington, 2020",,,,5.1,283.5520511
"Washington, 2021",,,,4.8,248.9161202
"Washington, 2022",,,,,
"Washington, 2023",,,,,
"West Virginia, 2018",,,,5.7,189.7629873
"West Virginia, 2019",,,,9.3,261.4076092
"West Virginia, 2020",,,,1.5,262.8781006
"West Virginia, 2021",,,,4.2,251.9806276
"West Virginia, 2022",,,,,
"West Virginia, 2023",,,,,
"Wisconsin, 2018",,,,5,445.3150244
"Wisconsin, 2019",,,,5.2,465.6593627
"Wisconsin, 2020",,,,4.5,428.2920106
"Wisconsin, 2021",,,,5.5,442.100058
"Wisconsin, 2022",,,,,
"Wisconsin, 2023",,,,,
"Wyoming, 2018",,,,0,328.4760807
"Wyoming, 2019",,,,1.1,303.7999242
"Wyoming, 2020",,,,0,261.6774102
"Wyoming, 2021",,,,1.1,291.6251413
"Wyoming, 2022",,,,,
"Wyoming, 2023",,,,,
